level,pictureUrl,exerciseName,words,noiseLevel,noiseUrl
1,family,Семья,(сын ребёнок родители дочь мама папа),0,
2,family,Семья,(отец мать сестра брат дядя дедушка),0,
3,family,Семья,(бабушка муж жена внучка внук внуки),0,
4,family,Семья,(семья тётя дядя племянник племянница родня),0,
5,family,Семья,(фамилия имя отчество родственники друг подружка),0,
6,family,Семья,(свадьба свёкр свекровь невеста жених тёща),0,
7,family,Семья,(тесть брак малыш дети парень девушка),0,
8,family,Семья,(отчим мачеха крёстный крестная прабабушка прадедушка),0,
9,family,Семья,(дружить любить жениться родился встречаться приглашать),0,
10,family,Семья,(крестник правнучка наследник подросток супруг супруга родственник золовка наследство),0,
11,family,Семья,(крестница правнук сирота юноша опекун супруги новорожденный зять наследник),0,
12,family,Семья /+голоса/,(сын ребёнок родители дочь мама папа),50,voices
13,family,Семья /+голоса/,(отец мать сестра брат дядя дедушка),50,voices
14,family,Семья /+голоса/,(бабушка муж жена внучка внук внуки),50,voices
15,family,Семья /+голоса/,(семья тётя дядя племянник племянница родня),50,voices
16,family,Семья /+голоса/,(фамилия имя отчество родственники друг подружка),50,voices
17,family,Семья /+голоса/,(свадьба свёкр свекровь невеста жених тёща),50,voices
18,family,Семья /+голоса/,(тесть брак малыш дети парень девушка),50,voices
19,family,Семья /+голоса/,(отчим мачеха крёстный крестная прабабушка прадедушка),50,voices
20,family,Семья /+голоса/,(дружить любить жениться родился встречаться приглашать),50,voices
21,family,Семья /+голоса/,(крестник правнучка наследник подросток супруг супруга родственник золовка наследство),50,voices
22,family,Семья /+голоса/,(крестница правнук сирота юноша опекун супруги новорожденный зять наследник),50,voices
1,home,Любимый дом,(дом окно лестница замок дверь ключ),0,
2,home,Любимый дом,(диван картина стул стол штора кровать),0,
3,home,Любимый дом,(подушка шкаф часы комод зеркало полочка),0,
4,home,Любимый дом,(ванна спальня душ туалет коридор кухня),0,
5,home,Любимый дом,(лифт плита пылесос шкафчик комната унитаз),0,
6,home,Любимый дом,(гостиная зал балкон телевизор стенка кресло),0,
7,home,Любимый дом,(пол подвал раковина розетка телефон ящик),0,
8,home,Любимый дом,(утюг подоконник обои полотенце розетка сад),0,
9,home,Любимый дом,(закипает работает звонит включить выключить льётся),0,
10,home,Любимый дом,(лоджия домофон подушка радиатор пыль веранда мангал качели простыня),0,
11,home,Любимый дом,(радио компьютер дымоход плита жалюзи пододеяльник матрац кран плед),0,
12,home,Любимый дом /+малый шум/,(дом окно лестница замок дверь ключ),0,6
13,home,Любимый дом /+малый шум/,(диван картина стул стол штора кровать),0,6
14,home,Любимый дом /+малый шум/,(подушка шкаф часы комод зеркало полочка),0,6
15,home,Любимый дом /+малый шум/,(ванна спальня душ туалет коридор кухня),0,6
16,home,Любимый дом /+малый шум/,(лифт плита пылесос шкафчик комната унитаз),0,6
17,home,Любимый дом /+малый шум/,(гостиная зал балкон телевизор стенка кресло),0,6
18,home,Любимый дом /+малый шум/,(пол подвал раковина розетка телефон ящик),0,6
19,home,Любимый дом /+малый шум/,(утюг подоконник обои полотенце розетка сад),0,6
20,home,Любимый дом /+малый шум/,(закипает работает звонит включить выключить льётся),0,6
21,home,Любимый дом /+малый шум/,(лоджия домофон подушка радиатор пыль веранда мангал качели простыня),0,6
22,home,Любимый дом /+малый шум/,(радио компьютер дымоход плита жалюзи пододеяльник матрац кран плед),0,6
23,home,Любимый дом /+средний шум/,(дом окно лестница замок дверь ключ),0,20
24,home,Любимый дом /+средний шум/,(диван картина стул стол штора кровать),0,20
25,home,Любимый дом /+средний шум/,(подушка шкаф часы комод зеркало полочка),0,20
26,home,Любимый дом /+средний шум/,(ванна спальня душ туалет коридор кухня),0,20
27,home,Любимый дом /+средний шум/,(лифт плита пылесос шкафчик комната унитаз),0,20
28,home,Любимый дом /+средний шум/,(гостиная зал балкон телевизор стенка кресло),0,20
29,home,Любимый дом /+средний шум/,(пол подвал раковина розетка телефон ящик),0,20
30,home,Любимый дом /+средний шум/,(утюг подоконник обои полотенце розетка сад),0,20
31,home,Любимый дом /+средний шум/,(закипает работает звонит включить выключить льётся),0,20
32,home,Любимый дом /+средний шум/,(лоджия домофон подушка радиатор пыль веранда мангал качели простыня),0,20
