level,pictureUrl,exerciseName,phrases,noiseLevel,noiseUrl
1,longShortPhrases,Фразы разной длительности,(Мамочка идёт. Мамочка быстро идёт в магазин.),0,
2,longShortPhrases,Фразы разной длительности,(Папа моет. Папа моет грязную машину.),0,
3,longShortPhrases,Фразы разной длительности,(Бабушка поёт. Бабушка поёт грустную песню.),0,
4,longShortPhrases,Фразы разной длительности,(Дедушка капает. Дедушка капает глубокую яму.),0,
5,longShortPhrases,Фразы разной длительности,(Брат едет. Брат едет на большом велосипеде.),0,
6,longShortPhrases,Фразы разной длительности,(Сестра прыгает. Сестра прыгает на (новой) скакалке.),0,
7,longShortPhrases,Фразы разной длительности,(Малыш бежит. Малыш бежит по длинной дорожке.),0,
8,longShortPhrases,Фразы разной длительности,(Ребёнок плачет. Ребёнок громко плачет на улице.),0,
9,longShortPhrases,Фразы разной длительности,(Девочка спит. Девочка спит в маленькой кроватке.),0,
10,longShortPhrases,Фразы разной длительности,(Мальчик играет. Мальчик играет на пианино.),0,
11,longShortPhrases,Фразы разной длительности,(Цапля шагает. Цапля шагает по болоту.),0,
12,longShortPhrases,Фразы разной длительности,(Пчела летит. Пчела летит на луг.),0,
13,longShortPhrases,Фразы разной длительности,(Муравей тащит. Муравей тащит в муравейник пищику.),0,
14,longShortPhrases,Фразы разной длительности,(Повар готовит. Повар готовит новое блюдо.),0,
15,longShortPhrases,Фразы разной длительности,(Парикмахер стрижёт. Парикмахер стрижёт длинные волосы.),0,
16,longShortPhrases,Фразы разной длительности,(Продавец продаёт. Продавец продаёт свежие фрукты.),0,
17,longShortPhrases,Фразы разной длительности,(Воспитатель воспитывает. Воспитатель воспитывает маленьких детей.),0,
18,longShortPhrases,Фразы разной длительности,(Учитель учит. Учитель учит прилежных учеников.),0,
19,longShortPhrases,Фразы разной длительности,(Ученик пишет. Ученик пишет диктант вдумчиво.),0,
20,longShortPhrases,Фразы разной длительности,(Дети читают. Дети читают занимательную книгу.),0,
21,longShortPhrases,Фразы разной длительности,(Спортсмен побеждает. Спортсмен побеждает в соревнованиях по бегу.),0,
22,longShortPhrases,Фразы разной длительности,(Дети играют. Дети играют на стадионе.),0,
23,longShortPhrases,Фразы разной длительности,(Поезд едет. Поезд едет по железной дороге.),0,
24,longShortPhrases,Фразы разной длительности,(Фургон несется. Фургон несется по скоростной магистрали.),0,
25,longShortPhrases,Фразы разной длительности,(Слон везёт. Слон везет старого погонщика.),0,
26,longShortPhrases,Фразы разной длительности,(Мама кушает. Мама кушает ароматную булочку.),0,
27,longShortPhrases,Фразы разной длительности,(Варвара вернулась. Варвара вернулась  из школы поздно.),0,
28,longShortPhrases,Фразы разной длительности,(Я ем. Я ем вкусное варенье.),0,
29,longShortPhrases,Фразы разной длительности,(Светит солнце. На улице ярко светит солнце.),0,
30,longShortPhrases,Фразы разной длительности,(Вышел погулять. Петя рано утром вышел погулять.),0,
31,longShortPhrases,Фразы разной длительности,(Мама моет. Мама моет грязную посуду.),0,
32,longShortPhrases,Фразы разной длительности,(Собака лает. Собака лает на прохожего.),0,
33,longShortPhrases,Фразы разной длительности,(Я устал. Я устал от работы.),0,
34,longShortPhrases,Фразы разной длительности,(Красивый рисунок. Маргарита нарисовала красивый рисунок.),0,
35,longShortPhrases,Фразы разной длительности,(Окончил курсы. Матвей окончил курсы по программированию.),0,
36,longShortPhrases,Фразы разной длительности,(Исполнилось восемнадцать лет. Моей сестре исполнилось восемнадцать лет.),0,
37,longShortPhrases,Фразы разной длительности,(Вышел из дома. Отец вышел из дома рано утром.),0,
38,longShortPhrases,Фразы разной длительности,(Птички поют. Птички поют на рассвете.),0,
39,longShortPhrases,Фразы разной длительности,(Почтальон принес. Почтальон принес письмо домой.),0,
40,longShortPhrases,Фразы разной длительности,(Погас свет. В комнате погас свет.),0,
41,longShortPhrases,Фразы разной длительности,(Люблю кушать. Люблю кушать мороженое.),0,
42,longShortPhrases,Фразы разной длительности,(Вышел из леса. Дедушка вышел из леса.),0,
43,longShortPhrases,Фразы разной длительности,(Пьёт чай. Пьет чай с лимоном.),0,
44,longShortPhrases,Фразы разной длительности,(Все уснули. Все уснули поздно ночью.),0,
45,longShortPhrases,Фразы разной длительности,(Мы играем. Мы играем в волейбол.),0,
46,longShortPhrases,Фразы разной длительности,(Пятнадцать студентов. Пятнадцать студентов вышли на улицу.),0,
47,longShortPhrases,Фразы разной длительности,(Набираю текст. Набираю текст быстро.),0,
