level,code,exerciseName,phrases,noiseLevel,noiseUrl
1,longShortPhrases,Different length phrases,(Mommy is coming. Mommy is going to the shop quickly.),0,
2,longShortPhrases,Different length phrases,(Dad is washing. Dad is washing a dirty car.),0,
3,longShortPhrases,Different length phrases,(Grandma is singing. Grandma is singing a sad song.),0,
4,longShortPhrases,Different length phrases,(Grandpa is digging. Grandpa is digging a deep hole.),0,
5,longShortPhrases,Different length phrases,(Brother is riding. Brother is riding a big bicycle.),0,
6,longShortPhrases,Different length phrases,(Sister is jumping. Sister is jumping a new rope.),0,
7,longShortPhrases,Different length phrases,(A baby is running. A baby is running on the road.),0,
8,longShortPhrases,Different length phrases,(A child is crying. A child is crying loudly in the street.),0,
9,longShortPhrases,Different length phrases,(The girl is sleeping. The girl is sleeping in a small bed.),0,
10,longShortPhrases,Different length phrases,(The boy is playing. The boy is playing the piano.),0,
11,longShortPhrases,Different length phrases,(The heron is walking. The heron is walking along the swamp.),0,
12,longShortPhrases,Different length phrases,(The bee is flying. The bee is flying to the field.),0,
13,longShortPhrases,Different length phrases,(The ant is dragging. The ant is dragging a grain to the ant-hill.),0,
14,longShortPhrases,Different length phrases,(The cheff is cooking. The cheff is cooking a new dish.),0,
15,longShortPhrases,Different length phrases,(The hairdresser is cutting. The hairdresser is cutting long hair.),0,
16,longShortPhrases,Different length phrases,(The salesperson is selling. The salesperson is selling fresh fruits.),0,
17,longShortPhrases,Different length phrases,(The caregiver is educating. The caregiver is educating little children.),0,
18,longShortPhrases,Different length phrases,(The teacher is teaching. The teacher is teaching diligent pupils.),0,
19,longShortPhrases,Different length phrases,(The pupil is writing. The pupil is writing a dictation thoughtfully.),0,
20,longShortPhrases,Different length phrases,(The children are reading. The children are reading an amusing book.),0,
21,longShortPhrases,Different length phrases,(The sportsman is winning. The sportsman is winning the race.),0,
22,longShortPhrases,Different length phrases,(The children are playing. The children are playing at the stadium.),0,
23,longShortPhrases,Different length phrases,(The train is going. The train is going along the railway.),0,
24,longShortPhrases,Different length phrases,(The van is tearing. The van is tearing along the motorway.),0,
25,longShortPhrases,Different length phrases,(The elephant is carrying. The elephant is carrying an old handler.),0,
26,longShortPhrases,Different length phrases,(The mother is eating. The mother is eating a tasty bun.),0,
27,longShortPhrases,Different length phrases,(Mary returned. Mary returned late from school.),0,
28,longShortPhrases,Different length phrases,(I am eating. I am eating delicious jam.),0,
