level,code,exerciseName,words,noiseLevel,noiseUrl
1,family,Family,(mom sister grandson),0,
2,family,Family,(dad brother grandfather),0,
3,family,Family,(boy father grandmother),0,
4,family,Family,(son boy sister mother girlfriend grandparents),0,
5,family,Family,(girl daddy mommy cousin boyfriend grandchildren),0,
6,family,Family,(uncle grandpa brother daughter stepsister grandfather),0,
7,family,Family,(girl aunt grandma grandson stepbrother grandparents),0,
8,family,Family,(child cousin parents nephew stepfather grandchildren),0,
9,family,Family,(wife mother husband stepson stepmother son-in-law),0,
10,family,Family,(name father children godson relatives sister-in-law),0,
11,family,Family,(niece uncle sibling newborn stepdaughter brother-in-law),0,
12,family,Family,(baby marry wedding invite husband mother-in-law),0,
13,family,Family,(aunt wife love bride sibling surname teenager patronymic father-in-law),0,
14,family,Family,(boy girl child friend toddler orphan parents bridegroom daughter-in-law),0,
15,family,Family /+voices/,(mom sister grandson),70,voices
16,family,Family /+voices/,(dad brother grandfather),70,voices
17,family,Family /+voices/,(boy father grandmother),70,voices
18,family,Family /+voices/,(son boy sister mother girlfriend grandparents),70,voices
19,family,Family /+voices/,(girl daddy mommy cousin boyfriend grandchildren),70,voices
20,family,Family /+voices/,(uncle grandpa brother daughter stepsister grandfather),70,voices
21,family,Family /+voices/,(girl aunt grandma grandson stepbrother grandparents),70,voices
22,family,Family /+voices/,(child cousin parents nephew stepfather grandchildren),70,voices
23,family,Family /+voices/,(wife mother husband stepson stepmother son-in-law),70,voices
24,family,Family /+voices/,(name father children godson relatives sister-in-law),70,voices
25,family,Family /+voices/,(niece uncle sibling newborn stepdaughter brother-in-law),70,voices
26,family,Family /+voices/,(baby marry wedding invite husband mother-in-law),70,voices
27,family,Family /+voices/,(aunt wife love bride sibling surname teenager patronymic father-in-law),70,voices
28,family,Family /+voices/,(boy girl child friend toddler orphan parents bridegroom daughter-in-law),70,voices
1,home,House,(bed rug dust),0,
2,home,House,(home wall chair),0,
3,home,House,(television bell sofa),0,
4,home,House,(hall chair cooker laptop painting balcony),0,
5,home,House,(flat sink towel bedroom kettle garage),0,
6,home,House,(lift stairs mirror bathroom cottage corridor),0,
7,home,House,(house clock shower kitchen cupboard wardrobe),0,
8,home,House,(room shelf garden bathtub basement armchair),0,
9,home,House,(bath oven radio bookshelf chimney computer),0,
10,home,House,(key iron pillow bookcase wallpaper barbecue),0,
11,home,House,(table stove toilet blanket fireplace bedsheet),0,
12,home,House,(door fence carpet closet property furniture),0,
13,home,House,(floor fridge curtain napkin television apartment elevator microwave living_room),0,
14,home,House,(sofa roof attic cushion seesaw dining_room refrigerator vacuum_cleaner accommodation),0,
15,home,House /+voices/,(bed rug dust),70,voices
16,home,House /+voices/,(home wall chair),70,voices
17,home,House /+voices/,(television bell sofa),70,voices
18,home,House /+voices/,(hall chair cooker laptop painting balcony),70,voices
19,home,House /+voices/,(flat sink towel bedroom kettle garage),70,voices
20,home,House /+voices/,(lift stairs mirror bathroom cottage corridor),70,voices
21,home,House /+voices/,(house clock shower kitchen cupboard wardrobe),70,voices
22,home,House /+voices/,(room shelf garden bathtub basement armchair),70,voices
23,home,House /+voices/,(bath oven radio bookshelf chimney computer),70,voices
24,home,House /+voices/,(key iron pillow bookcase wallpaper barbecue),70,voices
25,home,House /+voices/,(table stove toilet blanket fireplace bedsheet),70,voices
26,home,House /+voices/,(door fence carpet closet property furniture),70,voices
27,home,House /+voices/,(floor fridge curtain napkin television apartment elevator microwave living_room),70,voices
28,home,House /+voices/,(sofa roof attic cushion seesaw dining_room refrigerator vacuum_cleaner accommodation),70,voices
1,food,Food,(food milk cheese),0,
2,food,Food,(egg ham cake),0,
3,food,Food,(tea fruit apple),0,
4,food,Food,(nut salt fry peach carrot lemon),0,
5,food,Food,(meat chips boil tuna pizza bacon),0,
6,food,Food,(fish oil mix orange chicken sugar),0,
7,food,Food,(bread juice slice salad water yogurt),0,
8,food,Food,(soup wine pasta grapes banana potato),0,
9,food,Food,(drink beer coffee garlic tomato pumpkin),0,
10,food,Food,(bean trout berry melon onion cucumber),0,
11,food,Food,(grain beef olive sausage pancake lemonade),0,
12,food,Food,(rice chop basil poultry seafood chocolate),0,
13,food,Food,(crab peel donut eggplant sandwich vegetable mushroom strawberry watermelon),0,
14,food,Food,(pork steam mustard apricot hamburger milkshake coconut gooseberry redcurrant),0,
1,clothes,Clothes,(cap skirt boots),0,
2,clothes,Clothes,(hat coat scarf),0,
3,clothes,Clothes,(dress shirt jeans),0,
4,clothes,Clothes,(tie shorts gloves buttons pocket mittens),0,
5,clothes,Clothes,(bra socks jacket cotton leather collar),0,
6,clothes,Clothes,(cap belt skirt jumper gloves mittens),0,
7,clothes,Clothes,(hat vest coat T-shirt jacket bikini),0,
8,clothes,Clothes,(belt shoes jeans raincoat pyjamas cardigan),0,
9,clothes,Clothes,(zip bra dress hoodie sweater underwear),0,
10,clothes,Clothes,(pants skirt gloves trousers sweatshirt pyjamas),0,
11,clothes,Clothes,(tights T-shirt jumper sandals mittens footwear),0,
12,clothes,Clothes,(silk boxers jacket sportswear cardigan trousers),0,
13,clothes,Clothes,(wool vest shoes tights sneakers cotton leather flowered patterned),0,
14,clothes,Clothes,(zip bra plain helmet sandals stockings underwear swimming-suit polka-dots),0,
1,school,School,(pen book lesson),0,
2,school,School,(desk board school),0,
3,school,School,(clock glue brush),0,
4,school,School,(map Art ruler drama paper marker),0,
5,school,School,(bell glue drama pupil teacher classmate),0,
6,school,School,(lab marker pencil teacher student classroom),0,
7,school,School,(pencil pupil school teacher scissors notebook),0,
8,school,School,(Maths ruler pencil stapler novel classmate),0,
9,school,School,(chalk English paper rubber scissors sharpener),0,
10,school,School,(learn Maths Science novel teacher eraser),0,
11,school,School,(brush coach laptop schoolbag playground Chemistry),0,
12,school,School,(pen backpack library computer homework Physics),0,
13,school,School,(book desk subject Biology highlighter eraser educate homework Geography),0,
14,school,School,(map board learn Chemistry schoolbag Geography calculator dictionary pencil-case),0,
15,school,School /+crowd fon/,(pen book lesson),70,crowd
16,school,School /+crowd fon/,(desk board school),70,crowd
17,school,School /+crowd fon/,(clock glue brush),70,crowd
18,school,School /+crowd fon/,(map Art ruler drama paper marker),70,crowd
19,school,School /+crowd fon/,(bell glue drama pupil teacher classmate),70,crowd
20,school,School /+crowd fon/,(lab marker pencil teacher student classroom),70,crowd
21,school,School /+crowd fon/,(pencil pupil school teacher scissors notebook),70,crowd
22,school,School /+crowd fon/,(Maths ruler pencil stapler novel classmate),70,crowd
23,school,School /+crowd fon/,(chalk English paper rubber scissors sharpener),70,crowd
24,school,School /+crowd fon/,(learn Maths Science novel teacher eraser),70,crowd
25,school,School /+crowd fon/,(brush coach laptop schoolbag playground Chemistry),70,crowd
26,school,School /+crowd fon/,(pen backpack library computer homework Physics),70,crowd
27,school,School /+crowd fon/,(book desk subject Biology highlighter eraser educate homework Geography),70,crowd
28,school,School /+crowd fon/,(map board learn Chemistry schoolbag Geography calculator dictionary pencil-case),70,crowd
1,math,Math,(one three seven),0,
2,math,Math,(two four zero),0,
3,math,Math,(six nine eight),0,
