exerciseId orderNumber word audioFileName pictureFileName words
1 1 бал no_noise/бал.mp3 pictures/бал.jpg (бам,сам,дам,зал,бак)
1 2 бум no_noise/бум.mp3 pictures/бум.jpg (зум,кум,шум,зуб,куб)
1 3 быль no_noise/быль.mp3 pictures/быль.jpg (пыль,соль,мыль,дыль,киль)
1 4 вить no_noise/вить.mp3 pictures/вить.jpg (бить,жить,мыль,выть,лить)
1 5 гад no_noise/гад.mp3 pictures/гад.jpg (бад,сад,рад,бак,рать)
1 6 дуб no_noise/дуб.mp3 pictures/дуб.jpg (зуб,суд,мут,рут,пуд)
2 7 линь no_noise/линь.mp3 pictures/линь.jpg (пить,винь,лить,кинь,миль)
2 8 лис no_noise/лис.mp3 pictures/лис.jpg (пис,вис,мис,лиз,приз)
2 9 моль no_noise/моль.mp3 pictures/моль.jpg (боль,соль,воль,коль,доль)
2 10 пар no_noise/пар.mp3 pictures/пар.jpg (жар,кар,вар,мар,пат)
2 11 пять no_noise/пять.mp3 pictures/пять.jpg (жать,спать,врать,мать,пать)
2 12 раб no_noise/раб.mp3 pictures/раб.jpg (жар,бар,сар,вар,тар)
3 13 рак no_noise/рак.mp3 pictures/рак.jpg (мар,жак,пак,нак,так)
3 14 рожь no_noise/рожь.mp3 pictures/рожь.jpg (ложь,мож,сож,кожа,вошь)
3 15 сеть no_noise/сеть.mp3 pictures/сеть.jpg (петь,жечь,речь,леть,веть)
3 16 топь no_noise/топь.mp3 pictures/топь.jpg (пот,сопь,ропь,моть,коть)
3 17 ход no_noise/ход.mp3 pictures/ход.jpg (сад,пот,рот,сот,кот)
3 18 шеф no_noise/шеф.mp3 pictures/шеф.jpg (пеф,сеф,рев,тев,пет)
3 19 мор no_noise/мор.mp3 pictures/мор.jpg (сор,лор,жор,пор,дор)
4 20 бал noise_0db/бал.mp3 pictures/бал.jpg (бам,сам,дам,зал,бак)
4 21 бум noise_0db/бум.mp3 pictures/бум.jpg (зум,кум,шум,зуб,куб)
4 22 быль noise_0db/быль.mp3 pictures/быль.jpg (пыль,соль,мыль,дыль,киль)
4 23 вить noise_0db/вить.mp3 pictures/вить.jpg (бить,жить,мыль,выть,лить)
4 24 гад noise_0db/гад.mp3 pictures/гад.jpg (бад,сад,рад,бак,рать)
4 25 дуб noise_0db/дуб.mp3 pictures/дуб.jpg (зуб,суд,мут,рут,пуд)
5 26 линь noise_0db/линь.mp3 pictures/линь.jpg (пить,винь,лить,кинь,миль)
5 27 лис noise_0db/лис.mp3 pictures/лис.jpg (пис,вис,мис,лиз,приз)
5 28 моль noise_0db/моль.mp3 pictures/моль.jpg (боль,соль,воль,коль,доль)
5 29 пар noise_0db/пар.mp3 pictures/пар.jpg (жар,кар,вар,мар,пат)
5 30 пять noise_0db/пять.mp3 pictures/пять.jpg (жать,спать,врать,мать,пать)
5 31 раб noise_0db/раб.mp3 pictures/раб.jpg (жар,бар,сар,вар,тар)
6 32 рак noise_0db/рак.mp3 pictures/рак.jpg (мар,жак,пак,нак,так)
6 33 рожь noise_0db/рожь.mp3 pictures/рожь.jpg (ложь,мож,сож,кожа,вошь)
6 34 сеть noise_0db/сеть.mp3 pictures/сеть.jpg (петь,жечь,речь,леть,веть)
6 35 топь noise_0db/топь.mp3 pictures/топь.jpg (пот,сопь,ропь,моть,коть)
6 36 ход noise_0db/ход.mp3 pictures/ход.jpg (сад,пот,рот,сот,кот)
6 37 шеф noise_0db/шеф.mp3 pictures/шеф.jpg (пеф,сеф,рев,тев,пет)
6 38 мор noise_0db/мор.mp3 pictures/мор.jpg (сор,лор,жор,пор,дор)
7 20 бал noise_6db/бал.mp3 pictures/бал.jpg (бам,сам,дам,зал,бак)
7 21 бум noise_6db/бум.mp3 pictures/бум.jpg (зум,кум,шум,зуб,куб)
7 22 быль noise_6db/быль.mp3 pictures/быль.jpg (пыль,соль,мыль,дыль,киль)
7 23 вить noise_6db/вить.mp3 pictures/вить.jpg (бить,жить,мыль,выть,лить)
7 24 гад noise_6db/гад.mp3 pictures/гад.jpg (бад,сад,рад,бак,рать)
7 25 дуб noise_6db/дуб.mp3 pictures/дуб.jpg (зуб,суд,мут,рут,пуд)
8 26 линь noise_6db/линь.mp3 pictures/линь.jpg (пить,винь,лить,кинь,миль)
8 27 лис noise_6db/лис.mp3 pictures/лис.jpg (пис,вис,мис,лиз,приз)
8 28 моль noise_6db/моль.mp3 pictures/моль.jpg (боль,соль,воль,коль,доль)
8 29 пар noise_6db/пар.mp3 pictures/пар.jpg (жар,кар,вар,мар,пат)
8 30 пять noise_6db/пять.mp3 pictures/пять.jpg (жать,спать,врать,мать,пать)
8 31 раб noise_6db/раб.mp3 pictures/раб.jpg (жар,бар,сар,вар,тар)
9 32 рак noise_6db/рак.mp3 pictures/рак.jpg (мар,жак,пак,нак,так)
9 33 рожь noise_6db/рожь.mp3 pictures/рожь.jpg (ложь,мож,сож,кожа,вошь)
9 34 сеть noise_6db/сеть.mp3 pictures/сеть.jpg (петь,жечь,речь,леть,веть)
9 35 топь noise_6db/топь.mp3 pictures/топь.jpg (пот,сопь,ропь,моть,коть)
9 36 ход noise_6db/ход.mp3 pictures/ход.jpg (сад,пот,рот,сот,кот)
9 37 шеф noise_6db/шеф.mp3 pictures/шеф.jpg (пеф,сеф,рев,тев,пет)
9 38 мор noise_6db/мор.mp3 pictures/мор.jpg (сор,лор,жор,пор,дор)
