exerciseId orderNumber word audioFileName pictureFileName words wordType
1 1 бал no_noise/бал.mp3 pictures/бал.jpg (бам,сам,дам,зал,бак) OBJECT
1 2 бум no_noise/бум.mp3 pictures/бум.jpg (зум,кум,шум,зуб,куб) OBJECT
1 3 быль no_noise/быль.mp3 pictures/быль.jpg (пыль,соль,мыль,дыль,киль) OBJECT
1 4 вить no_noise/вить.mp3 pictures/вить.jpg (бить,жить,мыль,выть,лить) OBJECT_ACTION
1 5 гад no_noise/гад.mp3 pictures/гад.jpg (бад,сад,рад,бак,рать) OBJECT
1 6 дуб no_noise/дуб.mp3 pictures/дуб.jpg (зуб,суд,мут,рут,пуд) OBJECT
2 7 линь no_noise/линь.mp3 pictures/линь.jpg (пить,винь,лить,кинь,миль) OBJECT
2 8 лис no_noise/лис.mp3 pictures/лис.jpg (пис,вис,мис,лиз,приз) OBJECT
2 9 моль no_noise/моль.mp3 pictures/моль.jpg (боль,соль,воль,коль,доль) OBJECT
2 10 пар no_noise/пар.mp3 pictures/пар.jpg (жар,кар,вар,мар,пат) OBJECT
2 11 пять no_noise/пять.mp3 pictures/пять.jpg (жать,спать,врать,мать,пать) COUNT
2 12 раб no_noise/раб.mp3 pictures/раб.jpg (жар,бар,сар,вар,тар) OBJECT
3 13 рак no_noise/рак.mp3 pictures/рак.jpg (мар,жак,пак,нак,так) OBJECT
3 14 рожь no_noise/рожь.mp3 pictures/рожь.jpg (ложь,мож,сож,кожа,вошь) OBJECT
3 15 сеть no_noise/сеть.mp3 pictures/сеть.jpg (петь,жечь,речь,леть,веть) OBJECT
3 16 топь no_noise/топь.mp3 pictures/топь.jpg (пот,сопь,ропь,моть,коть) OBJECT
3 17 ход no_noise/ход.mp3 pictures/ход.jpg (сад,пот,рот,сот,кот) OBJECT
3 18 шеф no_noise/шеф.mp3 pictures/шеф.jpg (пеф,сеф,рев,тев,пет) OBJECT
3 19 мор no_noise/мор.mp3 pictures/мор.jpg (сор,лор,жор,пор,дор) OBJECT
4 20 бал noise_6db/бал.mp3 pictures/бал.jpg (бам,сам,дам,зал,бак) OBJECT
4 21 бум noise_6db/бум.mp3 pictures/бум.jpg (зум,кум,шум,зуб,куб) OBJECT
4 22 быль noise_6db/быль.mp3 pictures/быль.jpg (пыль,соль,мыль,дыль,киль) OBJECT
4 23 вить noise_6db/вить.mp3 pictures/вить.jpg (бить,жить,мыль,выть,лить) OBJECT_ACTION
4 24 гад noise_6db/гад.mp3 pictures/гад.jpg (бад,сад,рад,бак,рать) OBJECT
4 25 дуб noise_6db/дуб.mp3 pictures/дуб.jpg (зуб,суд,мут,рут,пуд) OBJECT
